GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,OBSERVER ORCID ID,SAMPLING EVENT IDENTIFIER,OBSERVATION TYPE,PROTOCOL NAME,PROTOCOL CODE,PROJECT NAMES,PROJECT IDENTIFIERS,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,CHECKLIST COMMENTS,SPECIES COMMENTS
,2024-04-19 21:55:00.950515,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Denali Borough,US-AK-068,,,,,,,,63.5356537,-149.8287554,2023-06-16,11:29:00,,,,Stationary,Stationary,,,,60.0,,,3.0,1,,,1,0,,,
,2024-04-19 21:55:00.950515,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Denali Borough,US-AK-068,,,,,,,,63.5356537,-149.8287554,2023-06-16,11:29:00,,,,Stationary,Stationary,,,,60.0,,,3.0,1,,,1,0,,,
,2025-10-09 02:08:39.212227,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.7966492,-147.7180481,2023-06-17,11:22:00,,,,Traveling,Traveling,,,,207.0,5.23,,3.0,1,,,1,0,,,
,2025-10-09 02:09:00.731427,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.7966492,-147.7180481,2023-06-18,09:31:00,,,,Traveling,Traveling,,,,65.0,0.039,,3.0,1,,,1,0,,,
,2025-10-09 02:09:00.619824,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.7966492,-147.7180481,2023-06-18,09:31:00,,,,Traveling,Traveling,,,,65.0,0.039,,3.0,1,,,1,0,,,
,2025-09-05 09:54:58.192817,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.86305,-147.7381727,2023-06-15,16:55:00,,,,Traveling,Traveling,,,,10.0,0.284,,1.0,1,,,1,0,,,
,2025-10-09 02:08:59.212192,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Fairbanks North Star Borough,US-AK-090,,,,,,,,64.7966492,-147.7180481,2023-06-18,09:40:00,,,,Traveling,Traveling,,,,57.0,1.646,,3.0,1,,,1,0,,,
,2025-10-13 00:48:11.347675,,,,bird_3,,,,,2,DD,C4,DD,,United States,US,Alaska,US-AK,Matanuska-Susitna Borough,US-AK-170,,,,,,,,62.6585771,-148.5811386,2023-06-17,09:00:00,,,,Incidental,Incidental,,,,,,,1.0,0,,,1,0,,,
,2025-05-21 22:04:14.363445,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8468224,-166.0983662,2023-06-24,09:42:00,,,,Traveling,Traveling,,,,151.0,3.0,,4.0,1,,,1,0,,,
,2025-05-21 22:04:58.240552,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.7183857,-165.9225655,2023-06-21,12:59:00,,,,Traveling,Traveling,,,,35.0,1.0,,5.0,1,,,1,0,,,
,2025-10-09 02:17:01.244696,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.6307686,-164.3748558,2023-06-15,11:42:00,,,,Traveling,Traveling,,,,154.0,19.097,,10.0,1,,,1,0,,,
,2024-10-24 16:54:12.095135,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.857844,-166.119461,2023-06-14,09:32:00,,,,Traveling,Traveling,,,,56.0,6.0,,8.0,1,,,1,0,,,
,2025-09-05 05:23:39.106619,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8781873,-166.1485969,2023-06-17,11:35:00,,,,Traveling,Traveling,,,,7.0,0.075,,1.0,1,,,1,0,,,
,2025-05-21 22:04:43.480604,,,,bird_3,,,,,4,A ,C3,A ,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8219296,-166.0375786,2023-06-19,13:03:00,,,,Traveling,Traveling,,,,450.0,12.0,,1.0,1,,,1,0,,,
,2025-05-21 22:05:53.211148,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.5855733,-165.6668141,2023-06-26,17:00:00,,,,Incidental,Incidental,,,,,,,1.0,0,,,1,0,,,
,2025-10-13 00:47:31.130376,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.4557741,-165.1001358,2023-06-20,20:43:00,,,,Stationary,Stationary,,,,30.0,,,5.0,1,,,1,0,,,
,2025-09-04 10:11:50.045874,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8468224,-166.0983662,2023-06-21,09:54:00,,,,Traveling,Traveling,,,,133.0,3.163,,4.0,1,,,1,0,,,
,2025-09-04 14:12:10.983015,,,,bird_3,,,,,5,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.849109,-166.016685,2023-06-30,08:21:00,,,,Traveling,Traveling,,,,204.0,8.158,,5.0,1,,,1,0,,,
,2025-10-28 05:31:13.141959,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.7875103,-165.2113724,2023-06-15,06:30:00,,,,Incidental,Incidental,,,,,,,12.0,0,,,1,0,,,
,2024-10-24 16:53:59.552985,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.857844,-166.119461,2023-06-14,09:32:00,,,,Traveling,Traveling,,,,56.0,6.0,,8.0,1,,,1,0,,,
,2025-05-21 22:15:55.781428,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.5585058,-164.4438634,2023-06-21,19:21:00,,,,Traveling,Traveling,,,,45.0,1.0,,3.0,1,,,1,0,,,
,2025-10-13 00:48:41.937063,,,,bird_3,,,,,3,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,65.2765291,-164.7896854,2023-06-28,11:06:00,,,,Traveling,Traveling,,,,130.0,3.178,,3.0,1,,,1,0,,,
,2025-05-21 22:04:58.240552,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.7183857,-165.9225655,2023-06-21,12:59:00,,,,Traveling,Traveling,,,,35.0,1.0,,5.0,1,,,1,0,,,
,2025-09-04 14:12:10.983015,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.849109,-166.016685,2023-06-27,17:35:00,,,,Traveling,Traveling,,,,135.0,3.99,,1.0,1,,,1,0,,,
,2025-09-04 13:44:50.764138,,,,bird_3,,,,,5,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.849109,-166.016685,2023-06-30,08:21:00,,,,Traveling,Traveling,,,,204.0,8.158,,5.0,1,,,1,0,,,
,2025-10-09 02:16:37.864159,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.6307686,-164.3748558,2023-06-15,11:42:00,,,,Traveling,Traveling,,,,154.0,19.097,,10.0,1,,,1,0,,,
,2025-05-21 22:15:55.781428,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.5585058,-164.4438634,2023-06-21,19:21:00,,,,Traveling,Traveling,,,,45.0,1.0,,3.0,1,,,1,0,,,
,2025-05-21 22:04:14.363445,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8468224,-166.0983662,2023-06-26,17:06:00,,,,Traveling,Traveling,,,,138.0,2.5,,1.0,1,,,1,0,,,
,2025-10-13 00:48:41.886109,,,,bird_3,,,,,3,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,65.2765291,-164.7896854,2023-06-28,11:06:00,,,,Traveling,Traveling,,,,130.0,3.178,,3.0,1,,,1,0,,,
,2025-09-05 07:42:26.888451,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8781873,-166.1485969,2023-06-17,11:35:00,,,,Traveling,Traveling,,,,7.0,0.075,,1.0,1,,,1,0,,,
,2025-10-09 02:13:11.677417,,,,bird_3,,,,,2,ON,C4,ON,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.641677,-164.360973,2023-06-27,12:00:00,,,,Traveling,Traveling,,,,36.0,0.612,,3.0,1,,,1,0,,,
,2024-04-19 16:34:59.927116,,,,bird_3,,,,,4,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.9200493,-163.8315582,2023-06-19,09:50:00,,,,Stationary,Stationary,,,,30.0,,,3.0,1,,,1,0,,,
,2025-10-28 05:31:09.778791,,,,bird_3,,,,,3,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.7183857,-165.9225655,2023-06-14,07:20:00,,,,Traveling,Traveling,,,,560.0,64.374,,12.0,1,,,1,0,,,
,2024-10-24 16:54:08.526676,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.857844,-166.119461,2023-06-14,09:32:00,,,,Traveling,Traveling,,,,56.0,6.0,,8.0,1,,,1,0,,,
,2025-10-13 00:47:31.474971,,,,bird_3,,,,,4,FL,C4,FL,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.7071375,-165.7626629,2023-06-25,10:23:00,,,,Traveling,Traveling,,,,119.0,4.889,,1.0,1,,,1,0,,,
,2025-09-04 10:11:50.045874,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.9332393,-166.2056733,2023-06-26,09:47:00,,,,Traveling,Traveling,,,,58.0,0.806,,4.0,1,,,1,0,,,
,2025-10-13 00:48:42.203649,,,,bird_3,,,,,5,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,65.2765291,-164.7896854,2023-06-28,18:15:00,,,,Traveling,Traveling,,,,229.0,7.39,,1.0,1,,,1,0,,,
,2025-05-21 22:04:58.240552,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.7183857,-165.9225655,2023-06-26,16:22:00,,,,Incidental,Incidental,,,,,,,1.0,0,,,1,0,,,
,2025-05-21 22:04:58.240552,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.7183857,-165.9225655,2023-06-16,17:47:00,,,,Incidental,Incidental,,,,,,,1.0,0,,,1,0,,,
,2023-06-22 01:47:28.824643,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.5010632,-165.4081392,2023-06-21,20:30:00,,,,Incidental,Incidental,,,,,,,2.0,0,,,1,0,,,
,2025-10-13 00:48:41.831375,,,,bird_3,,,,,3,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,65.2765291,-164.7896854,2023-06-28,11:06:00,,,,Traveling,Traveling,,,,130.0,3.178,,3.0,1,,,1,0,,,
,2025-05-21 22:12:55.023085,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.4408338,-164.8940364,2023-06-20,22:05:00,,,,Traveling,Traveling,,,,90.0,3.0,,5.0,1,,,1,0,,,
,2025-09-05 05:23:39.106619,,,,bird_3,,,,,1,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.8781873,-166.1485969,2023-06-17,11:35:00,,,,Traveling,Traveling,,,,7.0,0.075,,1.0,1,,,1,0,,,
,2025-10-09 02:13:11.664457,,,,bird_3,,,,,2,ON,C4,ON,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,64.641677,-164.360973,2023-06-27,12:00:00,,,,Traveling,Traveling,,,,36.0,0.612,,3.0,1,,,1,0,,,
,2025-10-13 00:47:20.599953,,,,bird_3,,,,,2,,,,,United States,US,Alaska,US-AK,Nome Census Area,US-AK-180,,,,,,,,65.2765291,-164.7896854,2023-06-22,10:15:00,,,,Traveling,Traveling,,,,90.0,2.5,,5.0,1,,,1,0,,,
